Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE,PC1,PC2
chembridge-fragment-library-part1-exp-2024-06,7662,1,O[C@H](c1ccccc1CN(C)C)c2ccccc2,6TBE_P,241.3,18,3.2,23.5,5.0,5,-6.436,-6.282,-6.956,-0.349,23.5,2.0,1.0,-1.86,ExpressPick,241,0.7586652640851331,-1.7757267326128139
chembridge-fragment-library-part1-exp-2024-06,13354,1,Fc1cccc(C2=Nc3ccccc3C(O2)=O)c1,6TBE_P,241.2,18,3.3,38.7,0.2,1,-6.436,-4.603,-6.227,-0.256,43.1,3.0,0.0,-3.26,ExpressPick,241,0.41068725090245195,-1.4856410436749152
chembridge-fragment-library-part1-exp-2024-06,6206,1,O=C1CCCN1c2ccc(cc2)C(O)=O,6TBE_P,205.2,15,1.5,57.6,1.0,3,-6.435,-4.271,-5.093,-0.285,57.6,3.0,1.0,-2.41,ExpressPick,205,-0.6299618928187394,0.8359615572530557
chembridge-fragment-library-part1-exp-2024-06,13388,1,S=C1NC(=C([C@H](N1)c2ccccc2O)C(OC)=O)C,6TBE_P,278.3,19,1.4,70.6,1.4,3,-6.435,-5.922,-6.741,-0.312,70.6,3.0,3.0,-1.81,ExpressPick,278,1.161422611667202,2.154777012623844
chembridge-fragment-library-part1-exp-2024-06,26692,1,Oc1ccc(C(=O)Nc2ccccc2)cc1,6TBE_P,213.2,16,2.6,49.3,1.0,3,-6.435,-4.84,-5.984,-0.303,49.3,2.0,2.0,-2.16,ExpressPick,213,-0.32366087783809216,-0.1235465539731826
chembridge-fragment-library-part1-exp-2024-06,28926,1,Brc1ccc(S(=O)(=O)Nc2cccc(c2)C(=O)N)cc1,6TBE_P,355.2,20,2.4,89.3,2.0,4,-6.435,-5.655,-8.809,-0.283,89.3,3.0,2.0,-3.92,ExpressPick,355,3.0932672524056875,1.7192626762786682
chembridge-fragment-library-part2-cl-2024-06,6130,1,O=C(NCc1cscn1)[C@H]2Cn3c(ncn3)CC2,6TBE_P,263.3,18,0.6,72.7,3.6,3,-6.435,-6.25,-6.777,-0.347,72.7,4.0,1.0,-0.928,1101,CORE,0.8154798585553048,2.2602013482242924
chembridge-fragment-library-part1-exp-2024-06,16938,1,Brc1c(OC)ccc([C@@H]2C(=C(NC(=S)N2)C)C(=O)N)c1,6TBE_P,356.2,20,1.8,76.4,1.4,3,-6.434,-6.888,-7.468,-0.344,76.4,2.0,3.0,-3.34,ExpressPick,356,2.279333882307336,1.4359607698001469
chembridge-fragment-library-part1-exp-2024-06,19100,1,Brc1ccc(C(=S)N2CCN(CC2)CCO)cc1,6TBE_P,329.3,18,2.2,26.7,4.5,5,-6.434,-7.03,-6.979,-0.391,26.7,2.0,1.0,-2.67,ExpressPick,329,1.5476752157896876,-1.3024572956051164
chembridge-fragment-library-part1-exp-2024-06,9698,1,O=C1[C@H](NC(=O)c2ccc(cc2)C)CCS1,6TBE_P,235.3,16,1.8,46.2,1.6,2,-6.433,-6.378,-7.164,-0.399,46.2,2.0,1.0,-2.1,ExpressPick,235,-0.5438272855093482,-0.4171809807520123
chembridge-fragment-library-part1-exp-2024-06,14486,1,O=C1C(=NN=C(SC)N1)c2ccccc2,6TBE_P,219.3,15,1.2,53.8,1.2,2,-6.433,-4.623,-5.468,-0.308,58.6,3.0,1.0,-1.17,ExpressPick,219,-0.8072211623838434,0.7661342007919698
chembridge-fragment-library-part1-exp-2024-06,14606,1,Fc1ccccc1N2C(=O)[C@@H]3[C@@H]([C@H]4C=C[C@@H]3[C@H]5C[C@@H]45)C2=O,6TBE_P,283.3,21,2.5,37.4,1.8,1,-6.433,-5.398,-6.313,-0.257,37.4,2.0,0.0,-2.32,ExpressPick,283,1.002103664635172,-1.79188874392676
chembridge-fragment-library-part1-exp-2024-06,23200,1,OCc1ccc(o1)-c2ccc(c(N)c2)C,6TBE_P,203.2,15,2.1,59.4,2.0,3,-6.433,-5.7,-6.587,-0.38,59.4,2.0,2.0,-2.05,ExpressPick,203,-0.6992653404946442,0.5201151278643051
chembridge-fragment-library-part1-exp-2024-06,9566,1,Clc1c(N/N=C/c2ccccc2F)nccn1,6TBE_P,250.7,17,3.0,50.2,1.0,3,-6.432,-4.969,-5.904,-0.292,50.2,3.0,1.0,-3.51,ExpressPick,251,0.7542301589594296,-0.3054581623596629
chembridge-fragment-library-part1-exp-2024-06,17958,1,O=C(Nc1cccc(O)c1)[C@@H]2CCC(=O)N2,6TBE_P,220.2,16,0.6,78.4,2.1,3,-6.432,-5.692,-6.573,-0.356,78.4,3.0,3.0,-1.69,ExpressPick,220,-0.33979672955919155,2.9817693155879543
chembridge-fragment-library-part2-cl-2024-06,4926,1,Fc1ccc([C@H]2CCN2C(=O)Cc3cc(no3)C)cc1,6TBE_P,274.3,20,2.3,46.3,2.3,4,-6.432,-6.022,-6.981,-0.301,46.3,3.0,0.0,-2.37,1101,CORE,1.5940278226554996,-0.5835990593941254
chembridge-fragment-library-part1-exp-2024-06,14352,1,Nc1nnc(s1)[C@H](c2ccccc2)C,6TBE_P,205.3,14,2.3,51.8,2.0,2,-6.431,-4.811,-5.653,-0.344,51.8,2.0,1.0,-2.23,ExpressPick,205,-1.0841659179278558,-0.4024975142985511
chembridge-fragment-library-part1-exp-2024-06,15366,1,Clc1cccc(F)c1[C@H]2C(=C(NC(=O)N2)C)C(=O)N,6TBE_P,283.7,19,1.9,84.2,0.6,2,-6.431,-6.11,-9.458,-0.322,84.2,2.0,3.0,-3.7,ExpressPick,284,1.0996172405171754,1.733322981238471
chembridge-fragment-library-part1-exp-2024-06,22244,1,O=C(N1CCN(CC1)c2ncccn2)c3cc(sc3)C,6TBE_P,288.4,20,1.8,49.3,1.7,3,-6.431,-5.668,-5.972,-0.283,49.3,3.0,0.0,-1.74,ExpressPick,288,1.4287891413700888,-0.31059041040940255
chembridge-fragment-library-part1-exp-2024-06,23660,1,O=C(Nc1nnc[nH]1)c2ccccc2SC,6TBE_P,234.3,16,1.8,70.7,1.5,3,-6.431,-6.193,-6.843,-0.387,70.7,3.0,2.0,-1.45,ExpressPick,234,0.16692331998435528,1.5711461867935597
chembridge-fragment-library-part1-exp-2024-06,26050,1,O=C(Nc1ccon1)c2csc(c2C)C,6TBE_P,222.3,15,2.0,55.1,0.5,2,-6.431,-5.403,-6.081,-0.36,55.1,3.0,1.0,-2.32,ExpressPick,222,-0.48568491011278886,0.39223107110928995
chembridge-fragment-library-part1-exp-2024-06,28384,1,OC(=O)Cc1c(nn(c1C)-c2ccc(N)cc2)C,6TBE_P,245.3,18,1.7,81.1,2.5,4,-6.431,-6.564,-7.233,-0.365,81.1,3.0,2.0,-1.52,ExpressPick,245,0.9999248908654046,2.0125250723810773
chembridge-fragment-library-part2-cl-2024-06,2396,1,Fc1ccc2c(nc([nH]2)CNC(=O)c3ccns3)c1,6TBE_P,276.3,19,2.4,70.7,2.3,3,-6.431,-6.832,-7.742,-0.36,70.7,3.0,2.0,-2.1,1101,CORE,1.4927283396780022,1.15093326914903
chembridge-fragment-library-part1-exp-2024-06,4218,1,NCc1csc(n1)-c2ncccn2,6TBE_P,192.2,13,1.1,64.7,2.0,3,-6.43,-5.391,-6.068,-0.415,64.7,4.0,1.0,0.716,ExpressPick,192,-0.9962577984317768,1.9042465806069688
chembridge-fragment-library-part1-exp-2024-06,6842,1,Fc1ccc(cc1)/C=N/c2ccc(cc2)C(O)=O,6TBE_P,243.2,18,3.5,49.7,1.3,4,-6.43,-5.459,-6.635,-0.303,49.7,3.0,1.0,-3.48,ExpressPick,243,1.2317421012709908,-0.5137836369433629
chembridge-fragment-library-part1-exp-2024-06,8234,1,OS(=O)(=O)c1ccc2ccc(N)cc2c1,6TBE_P,223.2,15,1.7,80.4,1.5,2,-6.43,-5.506,-6.276,-0.367,80.4,3.0,2.0,-2.24,ExpressPick,223,-0.2986334838849646,1.9292620623805288
chembridge-fragment-library-part1-exp-2024-06,13540,1,O=C(N)CSc1cccc2cccnc21,6TBE_P,218.3,15,1.8,56.0,3.0,3,-6.43,-6.195,-6.711,-0.413,56.0,2.0,1.0,-1.54,ExpressPick,218,-0.6348884352779559,0.0357922521073455
chembridge-fragment-library-part1-exp-2024-06,19078,1,Fc1ccc(Cn2c(nc3ccccc32)CO)cc1,6TBE_P,256.3,19,3.4,38.0,4.0,4,-6.43,-6.584,-7.559,-0.347,38.1,3.0,1.0,-3.17,ExpressPick,256,1.4250635977439565,-0.9085652290430161
chembridge-fragment-library-part1-exp-2024-06,3848,1,Nc1ccc(-c2nn3cnnc3s2)cc1,6TBE_P,217.2,15,1.4,69.1,0.0,1,-6.429,-4.82,-5.515,-0.321,69.1,3.0,1.0,-1.25,ExpressPick,217,-0.7936803065927169,1.1383654828193912
chembridge-fragment-library-part1-exp-2024-06,18318,1,OC(=O)COc1cccc2ccccc12,6TBE_P,202.2,15,2.3,46.5,2.8,4,-6.429,-5.626,-6.389,-0.375,46.5,3.0,1.0,-2.43,ExpressPick,202,-0.32098346419124946,0.1027628289387955
chembridge-fragment-library-part1-exp-2024-06,11542,1,Fc1c(F)ccc(NC(=O)c2ccc3c(OCO3)c2)c1,6TBE_P,277.2,20,3.5,47.6,0.5,2,-6.428,-4.894,-6.559,-0.245,47.6,3.0,1.0,-3.64,ExpressPick,277,1.618042617336151,-0.8039760725815241
